variable,type,num_values,num_unique_values,num_nulls,proportion_nulls,min_length,max_length,min,max,mean,median,stddev
2008Child Index - Income ,Numeric,1896,1483,0,0.0,,,1.0,1896.0,948.6561181434599,948.5,547.4976154640327
2008Child Index - Education ,Numeric,1896,1896,0,0.0,,,1.0,1896.0,948.5,948.5,547.4723737322277
2008Child Index - Health ,Numeric,1896,1895,0,0.0,,,1.0,1896.0,948.5005274261604,948.5,547.4729453198956
2008Child Index - Access to Services ,Numeric,1896,1896,0,0.0,,,1.0,1896.0,948.5,948.5,547.4723737322277
2008Child Index - Housing ,Numeric,1896,1839,0,0.0,,,1.0,1887.0,948.5232067510549,948.5,547.4978415778482
2008Child Index - Physical Environment ,Numeric,1896,1896,0,0.0,,,1.0,1896.0,948.5,948.5,547.4723737322277
2008Child Index - Community Safety ,Numeric,1896,1896,0,0.0,,,1.0,1896.0,948.5,948.5,547.4723737322277
2008Child Index,Numeric,1896,1896,0,0.0,,,1.0,1896.0,948.5,948.5,547.4723737322277
2011WIMD score,Numeric,1896,520,0,0.0,,,2.2,84.8,21.97763713080169,17.55,14.960531924678076
2011Employment score,Numeric,1896,44,0,0.0,,,0.0,100.0,22.826740506329113,15.8,20.274702308474748
2011Income score,Numeric,1896,694,0,0.0,,,0.0,100.0,21.71571729957806,15.649999999999999,19.948632340480344
2011Education score,Numeric,1896,694,0,0.0,,,0.0,100.0,21.715506329113925,15.649999999999999,19.94853145432337
2011Health score,Numeric,1896,694,0,0.0,,,0.0,100.0,21.715506329113925,15.649999999999999,19.94853145432337
2011Community Safety score,Numeric,1896,694,0,0.0,,,0.0,100.0,21.715506329113925,15.649999999999999,19.94853145432337
2011Access score,Numeric,1896,694,0,0.0,,,0.0,100.0,21.715506329113925,15.649999999999999,19.94853145432337
2011Enviroment score,Numeric,1896,694,0,0.0,,,0.0,100.0,21.715506329113925,15.649999999999999,19.94853145432337
2011Housing score,Numeric,1896,694,0,0.0,,,0.0,100.0,21.715506329113925,15.649999999999999,19.94853145432337
2011Child Index,Numeric,1896,507,0,0.0,,,1.5,75.6,21.716508438818565,18.2,13.833979681147374
2011Income domain_Child Index,Numeric,1896,684,0,0.0,,,0.0,100.0,21.717721518987343,15.649999999999999,19.949272932399776
2011Education domain_Child Index,Numeric,1896,694,0,0.0,,,0.0,100.0,21.715506329113925,15.649999999999999,19.94853145432337
2011Health domain_Child Index,Numeric,1896,694,0,0.0,,,0.0,100.0,21.715506329113925,15.649999999999999,19.94853145432337
2011Community Safety domain_Child Index,Numeric,1896,694,0,0.0,,,0.0,100.0,21.715506329113925,15.649999999999999,19.94853145432337
2011Enviroment domain_Child Index,Numeric,1896,694,0,0.0,,,0.0,100.0,21.715506329113925,15.649999999999999,19.94853145432337
2011Access to Services domain_Child Index,Numeric,1896,694,0,0.0,,,0.0,100.0,21.715506329113925,15.649999999999999,19.94853145432337
2011Housing domain_Child Index,Numeric,1896,692,0,0.0,,,0.1,100.0,21.715137130801686,15.649999999999999,19.94890089042007
