variable,type,num_values,num_unique_values,num_nulls,proportion_nulls,min_length,max_length,min,max,mean,median,stddev
LSOA,String,42619,42619,0,0.0,8,9,,,,,
LANAME,String,42619,382,0,0.0,4,35,,,,,
Rank,Numeric,42619,32824,0,0.0,,,1.0,32844.0,13278.958445763627,11535.0,10173.720445644241
SOA_pct,Numeric,42619,101,0,0.0,,,0.0,100.0,50.004692742673456,50.0,28.870656104913632
SOA_decile,Numeric,42619,10,0,0.0,,,1.0,10.0,5.499941340716582,5.0,2.872445723278689
LA_Rank,Numeric,42619,317,0,0.0,,,1.0,317.0,109.06445482061991,86.0,95.54884863535004
LA_pct,Numeric,42619,101,0,0.0,,,0.0,100.0,44.73009690513621,42.0,29.1749028567601
LA_decile,Numeric,42619,10,0,0.0,,,1.0,10.0,4.927309415988174,5.0,2.9246838303164577
