LSOA01CD,LSOA01NM,LSOA01NM2,Local Authority Name,2005Overall index score,2005Rank Overall,2005Income Number (1),2005Income Percentage (2),2005Employment (revised) (3) Number (1),2005Employment (revised) (3) Percentage (2),2005Income Rank,2005Income Score,2005Employment Rank,2005Employment Score,2005Health Rank,2005Health Score,2005Health Rank,2005Health Score,2005Access to Services Rank,2005Access to Services Score,2005Housing Rank,2005Housing Score,2005Physical Environment Rank,2005Physical Environment Score,2005Access to food shop (1),2005Access to GP (2),2005Access to primary school (3),2005Access to secondary school (4),2005Access to dentist (5),2005Access to post office (6),2005Access to library (7),2005Access to leisure centre (8),2005KS2 average point score (1),2005KS3 average point score (2),2005KS4 average point score (3),2005Secondary school absence rates (4),2005Not in education (5),2005Low qualifications (6),2005Male ,2005Female ,2005Total Persons,2005Income Rank,2005Employment Rank (revised) (2),2005Health Rank,2005Education Rank,2005Access to services Rank,2005Housing Rank,2005Physical environment Rank,2005Overall Index Rank (revised) (1),2008Income ,2008Employment ,2008Health ,2008Education ,2008Access to services ,2008Housing ,2008Physical environment ,2008Community safety ,2008Overall Index ,2008Child Index - Income ,2008Child Index - Education ,2008Child Index - Health ,2008Child Index - Access to Services ,2008Child Index - Housing ,2008Child Index - Physical Environment ,2008Child Index - Community Safety ,2008Child Index,2011WIMD score,2011Employment score,2011Income score,2011Education score,2011Health score,2011Community Safety score,2011Access score,2011Enviroment score,2011Housing score,2011Child Index,2011Income domain_Child Index,2011Education domain_Child Index,2011Health domain_Child Index,2011Community Safety domain_Child Index,2011Enviroment domain_Child Index,2011Access to Services domain_Child Index,2011Housing domain_Child Index
W01001141,Aberaman South 2,Rhondda Cynon Taf 005E,Rhondda Cynon Taf,47.3,126,477,30,240,27,248,45.0,125,58.8,71,69.2,252,44.6,869,17.6,442,32.6,852,18.1,99,100,100,100,24,100,0,24,78,87,34,9,50,44,751,835,1585,248,125,71,252,869,442,852,126,344,204,13,230,771,442,947,832,149,415,188,75,561,775,947,832,235,43.8,51.3,39.0,39.4,80.2,27.9,20.3,15.6,32.6,40.4,34.9,38.1,83.5,27.9,15.6,27.4,20.2
W01001142,Aberaman South 3,Rhondda Cynon Taf 005F,Rhondda Cynon Taf,51.2,96,465,29,269,29,285,42.0,82,66.7,39,78.7,194,50.1,1267,9.1,192,50.3,588,26.3,100,100,100,100,100,100,74,100,84,83,30,10,50,52,783,827,1609,285,82,39,194,1267,192,588,96,274,75,270,244,1435,192,1412,364,173,173,401,99,680,122,1412,364,159,47.6,68.7,49.4,43.4,60.3,31.0,6.3,12.0,50.3,44.3,54.2,34.6,59.8,31.0,12.0,23.1,59.3
W01000883,Aberavon 1,Neath Port Talbot 016A,Neath Port Talbot,12.8,1294,98,7,137,13,1630,3.4,968,15.2,1242,9.6,1058,13.2,975,15.0,1331,8.0,143,56.2,61,100,100,100,95,100,90,100,86,107,43,9,52,27,745,724,1469,1630,968,1242,1058,975,1331,143,1294,1607,1092,1869,1191,724,1331,289,1412,1479,1717,1307,414,1343,1241,289,1412,1356,10.4,10.0,1.1,10.2,1.8,5.4,21.7,65.8,8.0,10.6,0.5,7.7,18.8,5.4,65.8,7.8,9.6
W01000884,Aberavon 2,Neath Port Talbot 017A,Neath Port Talbot,44.3,154,394,31,197,26,206,48.8,161,53.8,202,49.2,273,42.9,1667,2.9,896,16.9,57,72.9,100,100,100,100,100,100,100,100,80,93,25,9,52,41,601,652,1253,206,161,202,273,1667,896,57,154,322,173,59,344,1587,896,26,473,169,318,359,250,1664,992,26,473,278,45.8,51.3,56.6,59.3,39.9,42.3,4.0,64.8,16.9,52.7,74.3,72.3,36.9,42.3,64.8,3.0,14.7
W01000885,Aberavon 3,Neath Port Talbot 017B,Neath Port Talbot,61.5,36,449,42,225,36,64,71.0,21,86.4,90,65.0,226,46.9,1348,7.7,875,17.5,54,73.7,97,100,100,100,100,100,100,100,83,85,33,9,52,49,494,576,1071,64,21,90,226,1348,875,54,36,96,60,99,154,1476,875,25,487,71,104,121,259,1722,1668,25,487,119,52.1,68.7,53.2,53.4,67.1,34.9,5.7,68.7,17.5,39.5,51.8,54.1,30.2,34.9,68.7,2.2,2.9
W01000886,Aberavon 4,Neath Port Talbot 017C,Neath Port Talbot,52.7,81,521,35,273,30,137,57.0,72,68.9,67,70.2,376,36.1,1667,2.9,531,28.6,66,70.4,100,100,100,100,100,100,100,100,76,95,37,9,52,43,736,749,1485,137,72,67,376,1667,531,66,81,141,84,74,139,1754,531,23,19,66,99,73,63,1577,1248,23,19,49,61.3,68.7,72.9,62.1,71.0,88.6,1.8,67.3,28.6,64.3,90.9,74.6,51.6,88.6,67.3,4.2,9.5
W01001325,Aberbargoed 1,Caerphilly 003A,Caerphilly,40.2,222,449,29,238,27,271,43.1,149,55.4,683,23.0,111,61.1,838,18.4,1365,7.5,1017,14.1,100,100,100,100,100,100,98,100,82,95,19,12,56,51,743,783,1526,271,149,683,111,838,1365,1017,222,284,118,557,101,1306,1365,949,441,220,375,127,544,1026,1315,949,441,351,45.3,63.6,45.6,59.1,57.3,31.5,8.5,10.6,7.5,34.0,41.4,53.4,32.0,31.5,10.6,13.9,8.3
W01001326,Aberbargoed 2,Caerphilly 003B,Caerphilly,43.8,158,554,28,343,28,327,39.1,115,60.4,66,70.4,323,39.4,1331,8.0,716,21.9,1122,11.9,96,100,100,100,100,100,100,100,82,103,36,12,56,52,964,1036,2000,327,115,66,323,1331,716,1122,158,306,106,52,192,1619,716,817,240,133,447,263,616,1362,723,817,240,439,46.7,59.6,40.4,52.6,76.2,48.3,3.6,26.5,21.9,34.8,39.8,48.8,32.6,48.3,26.5,7.5,21.7
W01001327,Abercarn 1,Caerphilly 014A,Caerphilly,18.4,917,173,10,167,15,1349,7.7,773,20.2,598,25.9,901,16.8,566,27.2,789,19.8,625,25.0,92,95,98,100,99,98,96,99,81,104,42,9,40,31,852,850,1702,1349,773,598,901,566,789,625,917,1055,779,349,1162,1126,789,443,919,859,723,1323,468,1421,977,443,919,895,16.7,17.8,13.0,13.5,22.5,23.4,11.8,21.3,19.8,16.5,14.6,11.9,28.2,23.4,21.3,6.5,15.0
W01001328,Abercarn 2,Caerphilly 014B,Caerphilly,20.2,805,246,16,159,17,871,17.6,630,24.8,794,19.6,519,29.1,972,15.1,1163,11.1,1533,4.8,98,100,100,100,100,100,100,100,71,98,43,9,40,42,751,765,1517,871,630,794,519,972,1163,1533,805,724,628,1038,460,1057,1163,1460,985,809,586,480,507,1518,1631,1460,985,739,24.2,28.9,26.1,35.1,16.1,22.4,13.2,22.8,11.1,23.1,30.2,33.9,17.7,22.4,22.8,5.1,3.4
