LSOA01CD,LSOA01NM,LSOA01NM2,Local Authority Name,2005Overall index score,2005Rank Overall,2005Income Number (1),2005Income Percentage (2),2005Employment (revised) (3) Number (1),2005Employment (revised) (3) Percentage (2),2005Income Rank,2005Income Score,2005Employment Rank,2005Employment Score,2005Health Rank,2005Health Score,2005Health Rank,2005Health Score,2005Access to Services Rank,2005Access to Services Score,2005Housing Rank,2005Housing Score,2005Physical Environment Rank,2005Physical Environment Score,2005Access to food shop (1),2005Access to GP (2),2005Access to primary school (3),2005Access to secondary school (4),2005Access to dentist (5),2005Access to post office (6),2005Access to library (7),2005Access to leisure centre (8),2005KS2 average point score (1),2005KS3 average point score (2),2005KS4 average point score (3),2005Secondary school absence rates (4),2005Not in education (5),2005Low qualifications (6),2005Male ,2005Female ,2005Total Persons,2005Income Rank,2005Employment Rank (revised) (2),2005Health Rank,2005Education Rank,2005Access to services Rank,2005Housing Rank,2005Physical environment Rank,2005Overall Index Rank (revised) (1),2008Income ,2008Employment ,2008Health ,2008Education ,2008Access to services ,2008Housing ,2008Physical environment ,2008Community safety ,2008Overall Index ,2008Child Index - Income ,2008Child Index - Education ,2008Child Index - Health ,2008Child Index - Access to Services ,2008Child Index - Housing ,2008Child Index - Physical Environment ,2008Child Index - Community Safety ,2008Child Index,2011WIMD score,2011Employment score,2011Income score,2011Education score,2011Health score,2011Community Safety score,2011Access score,2011Enviroment score,2011Housing score,2011Child Index,2011Income domain_Child Index,2011Education domain_Child Index,2011Health domain_Child Index,2011Community Safety domain_Child Index,2011Enviroment domain_Child Index,2011Access to Services domain_Child Index,2011Housing domain_Child Index
W01000064,Dewi,Gwynedd 002A,Gwynedd,15.1,1126,228,14,103,11,1004,14.4,1201,10.3,1278,8.9,756,20.7,1104,12.2,198,49.6,948,15.7,100,100,100,100,100,100,71,100,71,99,45,8,55,29,753,846,1599,1004,1201,1278,756,1104,198,948,1126,978,1130,1310,663,757,198,1594,983,1047,1108,648,1446,1554,170,1594,983,1223,15.6,12.1,12.0,20.0,9.2,22.1,20.7,3.9,49.6,15.7,15.8,18.1,9.6,22.1,3.9,4.5,52.7
W01001550,Dewstow & Green Lane 1,Monmouthshire 010B,Monmouthshire,16.7,1038,196,17,87,13,831,18.6,965,15.3,1036,13.7,463,31.6,1667,2.9,1395,7.0,957,15.5,100,100,100,100,100,100,100,100,86,94,23,9,38,40,570,596,1166,831,965,1036,463,1667,1395,957,1038,778,989,827,412,1282,1395,1100,1002,934,570,502,202,1321,1436,1100,1002,550,20.4,22.2,25.2,34.0,13.0,16.2,8.9,13.0,7.0,24.2,24.6,30.3,41.6,16.2,13.0,8.2,6.3
W01001551,Dewstow & Green Lane 2,Monmouthshire 010C,Monmouthshire,16.9,1023,243,21,69,11,613,25.4,1162,11.1,1161,11.1,411,34.2,1667,2.9,1566,4.3,1282,8.9,100,100,100,100,100,100,100,100,75,87,29,8,38,37,571,614,1185,613,1162,1161,411,1667,1566,1282,1023,791,999,1084,295,1732,1566,816,1468,986,774,296,669,1717,1424,816,1468,808,20.3,23.9,23.9,33.9,14.7,18.0,2.1,18.8,4.3,19.6,21.8,30.4,22.2,18.0,18.8,2.3,6.5
W01000065,Diffwys and Maenofferen,Gwynedd 009B,Gwynedd,25.2,603,271,24,87,13,443,32.5,943,15.8,390,35.3,1054,13.3,729,21.5,92,64.6,1228,9.8,100,100,100,100,100,100,100,100,77,103,47,8,44,30,544,574,1118,443,943,390,1054,729,92,1228,603,430,735,548,660,1721,92,929,823,597,740,683,978,1889,318,929,823,921,26.1,34.8,32.9,16.8,19.7,27.4,2.2,5.3,64.6,16.7,23.7,12.8,10.3,27.4,5.3,0.1,39.7
W01000562,Dinas Cross,Pembrokeshire 002A,Pembrokeshire,14.7,1158,158,10,95,11,1334,8.0,1200,10.4,1459,6.0,1472,5.8,97,63.6,533,28.5,1193,10.5,42,25,16,49,29,54,25,0,85,99,54,7,21,23,733,801,1534,1334,1200,1459,1472,97,533,1193,1158,1224,1316,1473,1439,53,533,1834,1722,1127,1256,1389,1590,57,655,1834,1722,1119,14.5,6.1,9.5,8.1,3.6,6.0,74.0,1.5,28.5,16.2,9.7,10.1,1.7,6.0,1.5,72.9,23.9
W01001086,Dinas Powys 1,The Vale of Glamorgan 006A,The Vale of Glamorgan,6.5,1732,69,5,39,5,1770,1.6,1842,0.7,1693,2.6,1818,1.0,441,32.6,1684,2.7,325,39.2,86,87,97,99,95,92,83,37,86,108,58,8,26,9,709,765,1474,1770,1842,1693,1818,441,1684,325,1732,1785,1789,1765,1850,448,1684,787,1299,1785,1703,1838,1451,317,1665,787,1299,1625,7.0,1.7,1.0,0.2,1.9,4.7,32.3,49.9,2.7,9.9,2.4,0.2,3.8,4.7,49.9,39.8,3.0
W01001087,Dinas Powys 2,The Vale of Glamorgan 006B,The Vale of Glamorgan,4.3,1824,89,6,58,7,1709,2.4,1671,2.9,1724,2.2,1807,1.1,1389,7.1,1449,6.1,495,30.1,100,100,100,100,100,100,100,99,82,119,61,8,26,16,752,803,1555,1709,1671,1724,1807,1389,1449,495,1824,1716,1680,1833,1740,1819,1449,1099,973,1881,1550,1758,1763,1245,1491,1099,973,1811,5.8,2.9,2.2,1.4,0.9,11.0,1.0,66.0,6.1,7.6,2.8,0.8,1.7,11.0,66.0,9.5,5.5
W01001088,Dinas Powys 3,The Vale of Glamorgan 006C,The Vale of Glamorgan,17.3,993,436,24,135,14,473,31.1,912,16.5,1467,5.8,1122,11.9,980,14.9,1534,4.8,813,19.1,98,99,100,100,100,100,99,77,82,101,40,8,26,26,859,984,1843,473,912,1467,1122,980,1534,813,993,541,756,1134,1224,1422,1534,1394,532,992,747,1372,232,1034,1440,1394,532,779,16.3,20.0,24.0,12.7,13.7,17.2,6.5,10.2,4.8,20.4,26.0,12.5,31.1,17.2,10.2,13.7,6.2
W01001089,Dinas Powys 4,The Vale of Glamorgan 006D,The Vale of Glamorgan,7.3,1688,102,7,56,6,1625,3.5,1712,2.3,1709,2.4,1722,2.2,577,26.7,1410,6.7,265,43.6,94,95,96,100,98,95,95,76,77,113,58,8,26,16,722,796,1519,1625,1712,1709,1722,577,1410,265,1688,1712,1763,1634,1603,680,1410,339,1575,1726,1869,1551,1510,513,1306,339,1575,1640,7.4,2.9,2.2,1.6,5.4,6.1,23.1,46.6,6.7,8.3,1.7,1.0,0.9,6.1,46.6,29.3,8.5
W01001090,Dinas Powys 5,The Vale of Glamorgan 006E,The Vale of Glamorgan,13.2,1262,104,7,48,5,1608,3.8,1793,1.3,216,47.9,1602,3.8,381,35.8,1826,0.9,1198,10.4,84,87,90,92,92,87,85,83,87,100,54,8,26,17,739,770,1510,1608,1793,216,1602,381,1826,1198,1262,1653,1760,543,1721,290,1826,1250,1082,1448,1563,1750,1581,298,1875,1250,1082,1611,8.7,4.4,2.1,2.0,11.4,8.7,41.7,13.8,0.9,8.7,1.5,1.5,9.0,8.7,13.8,41.1,0.3
W01000438,Disserth and Trecoed,Powys 012A,Powys,23.2,680,281,24,115,18,462,31.6,602,25.8,1482,5.6,1032,13.8,193,50.2,1358,7.6,1147,11.4,49,27,62,66,57,62,27,50,81,102,39,8,27,33,579,602,1181,462,602,1482,1032,193,1358,1147,680,667,598,1188,876,107,1358,1641,1349,689,597,996,107,109,1539,1641,1349,406,21.8,23.9,19.2,15.4,15.2,9.3,61.8,7.6,7.6,31.7,19.0,13.6,81.0,9.3,7.6,61.4,4.7
W01001552,Dixton with Osbaston,Monmouthshire 004A,Monmouthshire,5.6,1769,53,3,38,4,1839,0.7,1843,0.7,1869,0.3,1883,0.2,237,45.9,1834,0.8,1183,10.7,0,30,90,98,97,47,49,71,95,116,56,9,-14,10,752,769,1521,1839,1843,1869,1883,237,1834,1183,1769,1887,1772,1887,1882,288,1834,1333,1845,1814,1891,1841,1847,598,1839,1333,1845,1864,5.0,1.7,0.4,0.4,0.1,0.2,41.8,4.3,0.8,4.2,1.2,1.4,0.6,0.2,4.3,25.9,0.7
W01000066,Dolbenmaen,Gwynedd 010A,Gwynedd,18.5,905,188,16,77,12,916,16.4,1093,12.5,1284,8.8,974,15.1,169,52.9,248,45.0,1604,3.8,43,9,67,73,32,47,23,28,74,99,42,9,21,30,584,619,1203,916,1093,1284,974,169,248,1604,905,904,987,1462,927,139,248,1537,1871,902,1084,818,810,102,227,1537,1871,733,17.5,14.0,13.2,11.4,8.6,4.0,56.8,2.7,45.0,18.2,10.4,10.4,10.6,4.0,2.7,62.7,46.8
W01000439,Dolforwyn,Powys 007B,Powys,10.1,1506,101,6,70,7,1690,2.6,1635,3.4,1738,2.0,1452,6.1,85,66.0,1655,3.1,1062,13.1,15,0,29,30,1,63,0,1,84,113,44,9,20,26,870,825,1695,1690,1635,1738,1452,85,1655,1062,1506,1599,1694,1702,1610,41,1655,659,1894,1387,1599,1722,1697,37,1669,659,1894,1297,11.2,1.7,3.5,4.7,2.7,3.2,77.9,17.6,3.1,14.5,4.9,3.6,5.8,3.2,17.6,79.4,2.9
W01000067,Dolgellau North,Gwynedd 016D,Gwynedd,15.6,1102,130,11,106,16,1249,9.5,751,20.9,1359,7.6,1575,4.2,361,37.0,336,38.5,1137,11.6,75,83,87,95,91,86,73,86,86,98,62,6,32,24,568,591,1159,1249,751,1359,1575,361,336,1137,1102,1174,980,1374,1537,597,336,665,577,1136,1693,1651,1794,964,540,665,577,1648,14.9,15.8,8.4,5.8,8.4,24.9,26.0,28.7,38.5,9.4,4.6,4.8,0.5,24.9,28.7,15.3,28.2
W01000068,Dolgellau South,Gwynedd 016E,Gwynedd,15.8,1087,239,17,86,12,804,19.4,1076,12.8,1445,6.2,1213,10.1,633,24.7,178,51.8,1512,5.1,99,99,99,100,100,99,86,100,81,87,45,6,24,25,620,763,1383,804,1076,1445,1213,633,178,1512,1087,861,1042,1154,1051,1462,178,996,800,1075,908,1149,1571,1699,244,996,800,1278,16.1,15.8,17.9,12.2,11.3,19.5,5.9,15.1,51.8,15.3,21.4,10.7,4.5,19.5,15.1,2.5,45.3
W01001295,Dowlais 1,Merthyr Tydfil 002A,Merthyr Tydfil,50.3,102,500,31,249,28,213,48.1,114,60.6,116,60.3,152,55.0,947,15.7,597,26.0,122,59.3,91,100,100,100,71,100,100,100,79,88,29,11,45,53,768,835,1603,213,114,116,152,947,597,122,102,225,147,140,199,1035,597,576,491,156,338,214,270,1246,927,576,491,308,48.4,54.9,50.5,51.7,72.6,46.6,13.7,23.9,26.0,37.8,45.1,49.3,40.9,46.6,23.9,9.5,16.2
W01001296,Dowlais 2,Merthyr Tydfil 002B,Merthyr Tydfil,26.6,562,275,17,220,20,837,18.5,469,31.3,374,36.2,614,25.4,750,20.9,1175,10.8,242,45.5,88,100,100,100,79,100,100,100,76,99,47,10,45,35,829,817,1646,837,469,374,614,750,1175,242,562,1031,534,625,688,803,1175,477,454,710,440,501,141,854,1508,477,454,354,21.8,26.4,18.4,19.6,28.2,31.2,19.4,11.7,10.8,28.9,19.1,21.0,78.7,31.2,11.7,18.0,5.2
W01001297,Dowlais 3,Merthyr Tydfil 002C,Merthyr Tydfil,30.2,445,393,23,242,22,525,28.8,350,37.6,277,42.6,621,25.1,1667,2.9,785,19.9,283,42.2,100,100,100,100,100,100,100,100,81,104,39,10,45,39,825,914,1739,525,350,277,621,1667,785,283,445,885,593,239,590,1113,785,472,436,582,785,575,452,1254,888,472,436,668,25.3,28.9,21.3,25.9,30.1,41.8,12.1,27.8,19.9,22.3,17.2,25.0,32.2,41.8,27.8,9.4,17.1
W01001298,Dowlais 4,Merthyr Tydfil 002D,Merthyr Tydfil,45.4,140,535,32,244,26,203,49.1,170,52.7,85,66.0,322,39.4,1667,2.9,385,35.6,292,41.5,100,100,100,100,100,100,100,100,80,99,28,10,45,43,781,916,1697,203,170,85,322,1667,385,292,140,201,132,124,319,1677,385,371,386,155,325,329,249,1871,632,371,386,316,42.4,54.9,41.1,43.7,58.7,35.7,2.8,33.7,35.6,33.1,31.8,46.8,47.4,35.7,33.7,0.3,24.7
W01001553,Drybridge 1,Monmouthshire 004B,Monmouthshire,14.2,1187,259,16,131,13,923,16.3,953,15.6,1779,1.5,1418,6.6,363,36.9,1405,6.8,796,19.6,56,54,98,99,89,85,48,71,85,102,51,9,14,27,791,872,1662,923,953,1779,1418,363,1405,796,1187,1198,1266,1733,1263,323,1405,649,1239,1348,1189,1230,1619,254,1586,649,1239,1272,13.4,12.1,9.5,8.7,4.2,12.3,39.4,31.7,6.8,13.2,8.5,8.3,2.5,12.3,31.7,44.5,4.1
W01001554,Drybridge 2,Monmouthshire 004C,Monmouthshire,8.3,1631,125,8,54,7,1506,5.2,1670,2.9,1615,3.7,1642,3.3,640,24.4,511,29.4,579,26.7,92,98,98,100,99,97,97,99,89,115,38,9,14,17,756,773,1530,1506,1670,1615,1642,640,511,579,1631,1263,1504,1380,1763,1667,511,666,438,1569,1716,1675,1839,1794,1732,666,438,1821,8.1,6.1,4.2,1.3,4.9,22.6,2.9,37.6,29.4,4.4,0.4,1.6,0.1,22.6,37.6,1.3,2.1
W01000768,Dunvant 1,Swansea 020A,Swansea,9.2,1573,170,11,95,10,1240,9.6,1245,9.5,1180,10.7,1298,8.6,1359,7.6,1041,13.6,1781,1.4,98,100,100,100,100,100,100,100,89,101,33,7,22,19,738,753,1491,1240,1245,1180,1298,1359,1041,1781,1573,1233,1350,1147,1283,699,1041,1367,1678,1476,1137,1305,332,788,1205,1367,1678,1109,9.6,10.0,6.0,8.5,8.7,2.6,22.5,7.7,13.6,11.5,5.0,9.0,26.4,2.6,7.7,19.8,10.3
W01000769,Dunvant 2,Swansea 020B,Swansea,6.2,1742,127,8,83,9,1476,5.7,1391,7.0,1565,4.4,1754,1.8,795,19.6,1804,1.1,1801,1.2,99,94,100,100,100,99,94,94,89,115,48,8,22,15,722,782,1504,1476,1391,1565,1754,795,1804,1801,1742,1594,1390,1280,1456,689,1804,1746,1630,1691,1301,1388,1123,853,1601,1746,1630,1606,7.6,8.1,6.2,5.5,6.3,2.7,22.8,2.6,1.1,9.8,10.3,6.7,13.2,2.7,2.6,18.0,3.8
W01000770,Dunvant 3,Swansea 020C,Swansea,4.8,1805,101,6,80,8,1691,2.6,1565,4.4,1125,11.8,1555,4.5,1667,2.9,1529,4.9,1746,1.9,100,100,100,100,100,100,100,100,89,100,41,6,22,14,834,868,1702,1691,1565,1125,1555,1667,1529,1746,1805,1694,1616,1757,1569,944,1529,1393,1673,1841,1589,1499,1320,948,1705,1393,1673,1765,5.0,4.4,2.7,5.4,1.7,5.6,15.8,4.7,4.9,6.3,2.3,7.1,9.2,5.6,4.7,15.7,2.4
W01001091,Dyfan 1,The Vale of Glamorgan 010A,The Vale of Glamorgan,7.1,1697,110,6,94,9,1665,3.0,1430,6.4,1599,3.9,1486,5.5,656,23.9,1676,2.8,902,16.8,93,91,97,100,100,100,27,100,92,101,52,9,35,22,829,926,1755,1665,1430,1599,1486,656,1676,902,1697,1756,1520,1453,1495,765,1676,1749,1439,1782,1765,1540,1661,1402,1819,1749,1439,1881,6.9,8.1,3.1,5.6,6.0,5.6,20.5,2.6,2.8,3.3,2.2,4.5,1.9,5.6,2.6,6.9,1.0
W01001092,Dyfan 2,The Vale of Glamorgan 007B,The Vale of Glamorgan,19.4,854,362,23,129,15,513,29.3,845,18.2,1472,5.8,765,20.5,1158,11.2,758,20.7,552,27.7,87,100,100,100,100,100,98,100,79,98,41,10,35,34,723,856,1578,513,845,1472,765,1158,758,552,854,643,938,1238,617,904,758,1705,653,918,537,630,1050,1371,532,1705,653,781,19.8,20.0,22.0,26.2,16.0,23.7,16.7,1.9,20.7,18.4,19.2,25.6,18.1,23.7,1.9,7.4,28.5
W01001093,Dyfan 3,The Vale of Glamorgan 013C,The Vale of Glamorgan,24.9,616,436,24,191,19,470,31.2,511,29.4,860,17.9,660,23.8,1343,7.8,908,16.6,340,38.3,100,100,100,100,100,100,93,100,83,95,37,9,35,36,842,1000,1842,470,511,860,660,1343,908,340,616,353,385,755,493,1285,908,1209,261,481,574,430,675,1304,893,1209,261,607,29.4,41.3,33.5,22.6,28.6,40.6,8.8,17.3,16.6,21.1,26.9,18.2,16.7,40.6,17.3,8.5,17.0
W01000922,Dyffryn 1,Neath Port Talbot 007C,Neath Port Talbot,25.3,601,367,22,206,21,552,27.7,417,33.9,748,21.0,608,25.6,1066,13.0,1191,10.5,691,22.7,94,100,100,100,100,100,69,97,80,91,42,8,40,35,802,877,1679,552,417,748,608,1066,1191,691,601,529,380,717,591,582,1191,992,961,550,692,656,359,848,1258,992,961,672,26.8,34.8,28.3,21.6,25.9,14.4,26.5,27.6,10.5,21.2,23.2,18.1,26.5,14.4,27.6,18.2,9.3
W01000923,Dyffryn 2,Neath Port Talbot 007D,Neath Port Talbot,11.7,1390,157,10,119,12,1339,7.9,1057,13.2,1205,10.3,1345,7.8,461,31.7,1562,4.4,1409,6.7,72,90,97,98,94,97,85,85,88,112,43,8,40,26,765,768,1533,1339,1057,1205,1345,461,1562,1409,1390,1370,1013,1635,1350,586,1562,1112,1212,1453,1370,1436,1653,810,1470,1112,1212,1653,12.4,15.8,7.5,10.8,5.6,7.0,26.4,28.2,4.4,11.7,11.7,11.8,4.0,7.0,28.2,19.2,5.8
W01000069,Dyffryn Ardudwy,Gwynedd 013A,Gwynedd,13.3,1252,178,11,94,11,1297,8.6,1195,10.5,1864,0.4,1245,9.5,318,39.7,216,47.9,1055,13.3,89,89,88,52,82,93,0,4,83,103,46,8,18,29,803,857,1660,1297,1195,1864,1245,318,216,1055,1252,1087,1176,1771,981,392,216,952,1348,1129,1563,906,1575,290,102,952,1348,1144,13.0,10.0,7.4,9.9,6.2,7.5,35.2,6.6,47.9,14.9,6.6,8.3,8.0,7.5,6.6,41.7,62.7
W01000357,Dyffryn Ceiriog/Ceiriog Valley 1,Wrexham 019A,Wrexham,12.9,1279,109,8,60,8,1486,5.5,1560,4.4,823,18.8,1306,8.5,161,53.8,1225,9.9,1295,8.6,35,77,76,0,0,80,1,25,80,106,37,7,20,18,644,664,1308,1486,1560,823,1306,161,1225,1295,1279,1434,1583,855,1380,190,1225,1005,1576,1314,1400,1289,1243,177,793,1005,1576,1234,9.9,4.4,2.5,3.5,7.4,8.3,50.5,15.0,9.9,13.7,2.7,2.5,19.9,8.3,15.0,51.9,19.7
W01000358,Dyffryn Ceiriog/Ceiriog Valley 2,Wrexham 019B,Wrexham,13.5,1238,129,12,56,9,1189,10.6,1446,6.2,1426,6.5,1578,4.2,128,58.4,548,27.9,1210,10.2,56,66,79,0,0,66,0,0,94,111,43,7,20,22,515,564,1079,1189,1446,1426,1578,128,548,1210,1238,1120,1537,1724,1384,158,548,1093,1570,1276,943,1507,931,146,535,1093,1570,907,14.8,8.1,15.6,8.8,3.1,8.6,54.2,7.3,27.9,20.1,17.1,7.9,18.5,8.6,7.3,55.8,28.4
W01000200,Dyserth 1,Denbighshire 008A,Denbighshire,8.1,1648,103,7,69,8,1577,4.2,1487,5.5,1646,3.2,1378,7.2,517,29.1,976,15.0,1332,8.0,82,99,99,100,69,99,48,69,82,105,47,10,21,19,702,716,1418,1577,1487,1646,1378,517,976,1332,1648,1377,1431,1410,1279,486,976,1518,1119,1498,1257,1166,996,343,846,1518,1119,1217,9.9,8.1,7.9,6.1,6.2,9.2,30.5,3.1,15.0,11.9,8.8,5.7,7.7,9.2,3.1,38.1,18.2
W01000201,Dyserth 2,Denbighshire 008B,Denbighshire,21.5,743,295,23,106,14,519,29.1,903,16.8,1147,11.4,919,16.4,530,28.6,343,38.1,689,22.8,92,79,87,100,95,99,59,95,80,98,33,10,21,22,608,689,1297,519,903,1147,919,530,343,689,743,935,1025,1179,744,390,343,565,860,862,927,456,511,368,697,565,860,591,19.8,14.0,19.5,17.3,9.9,16.3,35.3,38.0,38.1,23.0,18.0,22.8,21.0,16.3,38.0,36.6,22.5
W01000563,East Williamston 1,Pembrokeshire 011B,Pembrokeshire,17.7,962,138,12,79,12,1161,11.1,1098,12.4,871,17.6,1729,2.1,49,75.3,565,27.2,1891,0.1,36,1,15,21,4,63,0,0,86,114,53,8,4,24,565,555,1120,1161,1098,871,1729,49,565,1891,962,1133,1106,1476,1534,164,565,1820,1508,1187,1073,1512,1521,140,376,1820,1508,1113,14.3,12.1,10.3,5.5,9.1,4.1,53.5,1.3,27.2,14.6,10.7,6.1,2.0,4.1,1.3,56.6,36.1
W01000564,East Williamston 2,Pembrokeshire 011C,Pembrokeshire,14.2,1186,199,16,86,13,922,16.3,973,15.1,938,15.9,1476,5.7,670,23.4,973,15.1,1884,0.2,84,98,99,99,99,100,97,0,86,116,33,8,4,28,607,670,1277,922,973,938,1476,670,973,1884,1186,729,970,1037,1316,399,973,1890,1546,1049,999,1444,551,312,726,1890,1546,995,13.6,12.1,10.1,9.2,18.2,6.5,34.8,0.4,15.1,14.1,5.4,8.0,24.2,6.5,0.4,40.1,21.6
W01001456,Ebbw Vale North 1,Blaenau Gwent 004C,Blaenau Gwent,31.5,414,318,22,214,24,548,27.9,242,45.5,362,36.9,319,39.6,1667,2.9,819,18.9,1309,8.4,100,100,100,100,100,100,100,100,81,96,36,10,61,40,723,726,1448,548,242,362,319,1667,819,1309,414,420,240,362,581,1470,819,1107,443,410,348,613,314,1720,879,1107,443,461,32.9,47.2,38.9,29.0,36.0,32.2,5.8,8.5,18.9,26.6,42.3,27.8,17.9,32.2,8.5,2.2,17.4
W01001457,Ebbw Vale North 2,Blaenau Gwent 004D,Blaenau Gwent,56.3,67,685,40,328,32,90,65.0,54,73.7,150,55.3,79,67.3,1070,13.0,1456,6.0,453,32.0,96,100,100,100,100,100,95,70,76,94,25,12,61,55,809,919,1728,90,54,150,79,1070,1456,453,67,77,53,156,105,734,1456,1072,305,75,79,171,285,1107,1133,1072,305,141,60.5,78.3,78.3,84.5,44.9,57.6,21.4,4.7,6.0,62.3,95.8,86.4,45.1,57.6,4.7,12.2,11.7
W01001458,Ebbw Vale North 3,Blaenau Gwent 004E,Blaenau Gwent,17.0,1011,187,13,142,15,1142,11.5,780,20.0,701,22.4,683,23.0,1415,6.6,1656,3.1,491,30.3,100,100,100,100,100,100,99,100,85,105,44,11,61,31,711,773,1484,1142,780,701,683,1415,1656,491,1011,1179,809,1128,1073,1373,1656,1125,902,1278,1180,1251,538,1818,1770,1125,902,1387,16.4,20.0,13.5,21.1,21.6,23.2,7.3,9.8,3.1,14.9,13.5,21.4,24.9,23.2,9.8,1.0,1.6
W01001459,Ebbw Vale South 1,Blaenau Gwent 007D,Blaenau Gwent,48.8,114,429,35,190,25,147,55.7,185,51.0,77,67.8,91,64.8,1078,12.8,1422,6.5,1098,12.4,100,95,100,100,100,100,100,97,69,96,23,12,54,53,570,673,1243,147,185,77,91,1078,1422,1098,114,295,109,16,109,972,1422,1720,276,106,198,133,78,922,1297,1720,276,160,55.9,72.3,56.9,56.6,88.0,66.0,15.1,3.7,6.5,47.1,57.3,48.3,69.2,66.0,3.7,16.3,8.6
W01001460,Ebbw Vale South 2,Blaenau Gwent 007E,Blaenau Gwent,30.6,436,279,19,205,23,684,23.0,266,43.5,343,38.1,520,29.0,788,19.8,1066,13.0,591,26.2,78,100,100,100,100,100,100,100,81,104,34,11,54,34,712,729,1441,684,266,343,520,788,1066,591,436,595,420,612,558,773,1066,1033,394,551,845,389,901,730,1154,1033,394,745,24.6,31.9,19.7,21.9,30.0,40.9,20.2,10.4,13.0,16.0,9.9,22.8,12.8,40.9,10.4,21.5,11.2
W01001461,Ebbw Vale South 3,Blaenau Gwent 007F,Blaenau Gwent,24.3,631,300,21,170,20,578,26.7,451,32.1,633,24.7,468,31.3,1667,2.9,1348,7.7,1214,10.1,100,100,100,100,100,100,100,100,83,98,37,11,54,36,682,727,1409,578,451,633,468,1667,1348,1214,631,545,421,334,439,1762,1348,1544,188,513,713,453,654,1432,1585,1544,188,737,32.5,41.3,36.3,38.3,38.0,52.4,1.7,8.7,7.7,29.7,38.4,43.9,22.9,52.4,8.7,6.4,4.1
W01000070,Efail-newydd/Buan,Gwynedd 012A,Gwynedd,18.0,939,146,12,80,11,1212,10.1,1177,10.8,933,16.0,1283,8.9,112,60.9,167,53.1,1442,6.2,2,31,23,51,44,45,31,21,87,105,50,9,38,28,604,646,1250,1212,1177,933,1283,112,167,1442,939,1154,1278,1405,1349,102,167,1172,1461,1028,1411,1488,1894,55,88,1172,1461,999,15.6,8.1,10.0,8.5,5.6,3.5,62.7,4.5,53.1,18.6,11.4,6.4,0.0,3.5,4.5,73.4,65.4
W01000202,Efenechtyd,Denbighshire 015B,Denbighshire,11.3,1431,105,6,51,5,1656,3.1,1786,1.4,1849,0.6,1462,5.9,42,77.6,925,16.2,1110,12.1,0,4,24,43,23,29,4,0,87,103,50,8,29,20,817,829,1646,1656,1786,1849,1462,42,925,1110,1431,1614,1676,1636,1675,88,925,1557,1746,1497,1535,1759,1811,56,669,1557,1746,1333,10.3,2.9,5.4,2.5,2.9,0.9,65.4,4.3,16.2,13.0,5.7,1.5,0.3,0.9,4.3,73.1,23.5
W01000137,Eglwysbach,Conwy 015C,Conwy,12.1,1353,110,7,65,7,1565,4.4,1582,4.1,1628,3.5,1598,3.9,83,66.5,742,21.1,690,22.8,0,0,53,26,14,43,1,14,78,109,51,9,6,21,737,756,1493,1565,1582,1628,1598,83,742,690,1353,1495,1595,1596,1473,133,742,906,1837,1402,1229,1250,1221,155,444,906,1837,1059,11.3,4.4,2.1,7.0,5.9,0.6,57.6,22.3,21.1,14.5,0.9,11.0,13.0,0.6,22.3,54.6,32.5
W01000138,Eirias 1,Conwy 008A,Conwy,17.8,957,390,20,146,14,617,25.2,918,16.4,1451,6.1,1437,6.3,385,35.6,408,34.3,1561,4.4,55,77,76,100,96,74,69,100,84,109,49,8,33,25,891,1018,1909,617,918,1451,1437,385,408,1561,957,581,800,1203,1304,427,408,1461,916,836,879,1273,1499,699,299,1461,916,1160,19.5,22.2,23.9,6.9,12.5,18.1,33.3,0.1,34.3,15.0,16.9,6.1,9.4,18.1,0.1,22.5,41.0
W01000139,Eirias 2,Conwy 007A,Conwy,8.1,1647,184,11,68,8,1232,9.8,1527,4.9,919,16.4,1667,2.9,1667,2.9,1089,12.6,1141,11.5,100,100,100,100,100,100,100,100,90,111,51,8,33,20,796,805,1601,1232,1527,919,1667,1667,1089,1141,1647,1164,1546,911,1503,1230,1089,1145,1145,1543,1557,1628,1035,1503,989,1145,1145,1705,9.2,8.1,11.0,3.3,13.0,11.3,9.8,5.4,12.6,7.6,7.4,1.7,12.3,11.3,5.4,5.3,14.7
W01000653,Elli 1,Carmarthenshire 023A,Carmarthenshire,16.8,1027,234,16,137,17,878,17.4,651,24.1,707,22.2,1050,13.4,1667,2.9,1604,3.8,1064,13.1,100,100,100,100,100,100,100,100,82,102,39,9,43,22,686,770,1456,878,651,707,1050,1667,1604,1064,1027,728,592,623,1415,1636,1604,1267,958,980,1070,1520,1049,1685,1249,1267,958,1537,16.4,17.8,14.9,7.8,34.9,9.8,3.4,34.5,3.8,13.3,15.2,7.6,17.5,9.8,34.5,2.7,9.5
W01000654,Elli 2,Carmarthenshire 023B,Carmarthenshire,27.8,514,343,20,213,22,664,23.6,351,37.6,324,39.3,871,17.6,1318,8.3,1085,12.6,201,49.3,95,100,100,100,100,100,100,100,80,102,40,9,43,29,837,905,1742,664,351,324,871,1318,1085,201,514,557,479,283,906,1773,1085,326,288,544,1120,916,1051,1840,1188,326,288,1179,27.2,31.9,22.7,15.5,46.8,30.8,1.5,65.6,12.6,17.7,17.3,15.5,13.7,30.8,65.6,0.7,10.6
