Ward Code,Ward Name,LGD Name,Multiple Deprivation Measure Score,Rank of Multiple Deprivation Measure Domain,Income Domain Score,Rank of Income Domain,Employment Domain Score,Rank of Employment Domain,Health Domain Score,Rank of Health Domain,Education Domain Score,Rank of Education Domain,Access Domain Score,Rank of Access Domain,Social Environment Domain Score,Rank of Social Environment Domain,Housing Domain Score,Rank of Housing Domain,Child Poverty Measure Score,Rank of Child Poverty Measure
1423,Tollymore,Down,18.43,283,29.56,235,12.39,270,-0.06,302,-0.06,298,0.85,100,-0.13,308,0.23,410,40.99,246
1501,Altmore,Dungannon,28.92,146,37.58,129,14.28,174,0.75,84,-0.26,351,1.19,48,-1.18,537,0.24,367,43.45,222
1502,Augher,Dungannon,24.11,203,34.43,166,10.57,374,0.28,178,-0.62,429,1.31,32,-0.34,367,0.35,27,43.09,225
1503,Aughnacloy,Dungannon,19.46,264,30.66,220,10.66,366,0.11,239,-0.26,347,0.92,88,0.04,268,0.32,91,39.18,267
1504,Ballygawley,Dungannon,25.55,178,37.96,126,13.73,210,-0.23,362,0.18,231,1.17,49,0.13,240,0.25,331,44.00,216
1505,Ballysaggart,Dungannon,40.27,67,50.21,35,14.81,148,0.97,49,0.90,87,-0.84,483,0.38,169,0.30,140,71.05,43
1506,Benburb,Dungannon,13.84,371,25.57,296,11.98,292,-0.34,392,-0.79,464,0.48,180,-0.32,361,0.29,168,34.50,325
1507,Caledon,Dungannon,19.84,258,27.69,262,10.00,397,0.04,264,-0.49,395,1.34,29,-0.61,433,0.33,39,37.51,290
1508,Castlecaulfield,Dungannon,15.58,335,28.59,246,12.61,261,-0.61,448,-1.09,502,0.74,123,-0.02,279,0.27,227,32.80,343
1509,Clogher,Dungannon,26.84,164,37.61,128,13.84,199,-0.13,327,0.20,226,1.39,22,-0.14,312,0.17,555,46.73,192
1510,Coalisland North,Dungannon,23.43,213,45.52,65,12.40,269,-0.11,324,-0.39,375,0.15,241,0.19,226,0.27,243,61.17,89
1511,Coalisland South,Dungannon,33.81,104,51.74,30,14.35,173,0.50,123,0.19,229,-0.36,354,0.13,239,0.27,228,65.80,72
1512,Coalisland West & Newmil,Dungannon,23.54,210,36.92,138,12.67,258,0.38,156,-0.38,372,-0.03,270,-0.22,337,0.34,32,46.89,191
1513,Coolhill,Dungannon,8.77,452,17.74,426,11.35,330,-0.27,373,-0.68,439,-0.46,395,-0.37,373,0.24,369,26.60,409
1514,Donaghmore,Dungannon,21.89,233,32.33,189,14.28,175,0.17,215,-1.12,506,0.51,176,-0.32,362,0.32,73,41.08,245
1515,Drumglass,Dungannon,24.29,200,33.05,186,15.71,123,0.75,87,-0.45,385,-0.59,427,0.24,203,0.19,534,43.61,220
1516,Fivemiletown,Dungannon,27.54,159,30.47,222,14.10,186,-0.10,319,-0.01,282,1.05,65,0.71,108,0.47,1,38.84,273
1517,Killyman,Dungannon,10.95,421,21.36,368,9.93,403,-0.71,471,-0.78,462,0.82,109,-0.46,400,0.28,205,29.83,382
1518,Killymeal,Dungannon,15.75,332,28.87,244,11.84,302,0.08,251,-1.11,504,-0.30,334,0.23,207,0.31,102,38.75,275
1519,Moy,Dungannon,17.17,302,23.74,331,11.46,325,-0.23,363,-1.01,497,0.16,240,0.96,69,0.45,3,31.55,357
1520,Moygashel,Dungannon,12.07,401,23.43,340,10.96,353,-0.18,344,-0.51,402,-0.01,261,0.31,184,0.25,336,31.53,358
1521,Mullaghmore,Dungannon,25.10,186,31.50,204,15.94,110,0.11,238,-1.25,519,-0.56,421,1.33,32,0.34,31,40.82,250
1522,Washing Bay,Dungannon,24.31,198,42.87,84,12.37,272,0.20,202,-0.05,292,0.69,134,-0.83,479,0.23,411,51.26,156
1601,Ballinamallard,Fermanagh,14.91,347,18.46,416,9.31,434,-0.12,325,-0.54,407,0.80,111,0.29,189,0.36,16,19.27,467
1602,Belcoo & Garrison,Fermanagh,20.61,251,30.97,214,10.67,365,-1.14,529,-0.94,481,2.48,1,-1.29,548,0.30,116,35.94,305
1603,Belleek & Boa,Fermanagh,25.61,177,31.16,210,11.07,349,-0.29,376,0.10,255,2.33,2,-1.36,553,0.35,23,39.64,262
1604,Boho Cleenish & Letterb,Fermanagh,18.56,282,29.76,233,11.29,334,0.01,275,-0.84,470,1.15,52,-0.95,503,0.32,90,34.61,321
1605,Brookeborough,Fermanagh,26.01,172,34.39,167,12.74,255,0.26,181,-0.47,390,1.35,27,-0.82,478,0.33,46,44.25,212
1606,Castlecoole,Fermanagh,10.05,432,23.63,333,7.37,491,-0.01,279,-1.00,494,-0.04,272,-0.61,434,0.29,167,32.32,348
1607,Derrygonnelly,Fermanagh,19.32,267,26.89,275,10.42,379,-0.02,284,-0.49,398,1.24,42,-1.31,551,0.36,17,31.88,352
1608,Derrylin,Fermanagh,16.84,310,24.21,323,8.22,464,-1.20,537,-0.27,352,1.56,12,-2.39,566,0.33,44,26.15,413
1609,Devenish,Fermanagh,31.02,128,43.00,82,16.11,102,0.50,125,0.43,190,-1.03,512,0.08,252,0.26,289,69.83,49
1610,Donagh,Fermanagh,18.36,286,25.67,295,11.68,309,-0.51,431,-0.88,473,1.16,50,-1.42,557,0.37,7,32.31,349
1611,Ederny & Lack,Fermanagh,24.98,190,36.15,145,11.67,310,-0.15,338,-0.33,363,1.35,28,-0.81,474,0.37,12,48.41,177
1612,Erne,Fermanagh,24.16,201,34.10,172,13.26,233,0.57,111,0.06,266,-0.37,357,0.48,149,0.31,110,49.95,163
1613,Florence Court & Kinawle,Fermanagh,14.99,346,26.13,287,9.56,419,-0.63,454,0.00,278,1.22,46,-1.63,565,0.26,295,31.18,367
1614,Irvinestown,Fermanagh,29.75,138,41.17,97,15.63,126,0.33,168,0.03,274,0.33,213,-0.09,300,0.31,97,52.74,148
1615,Island,Fermanagh,14.68,353,27.78,258,12.24,277,-0.04,291,-0.69,440,-1.61,553,0.43,156,0.30,144,39.74,260
1616,Kesh & Lisnarrick,Fermanagh,16.00,326,19.31,401,12.01,288,-0.21,355,-0.79,465,0.98,78,-1.17,534,0.35,22,22.00,439
1617,Lisbellaw,Fermanagh,12.16,399,22.21,356,9.68,412,-0.64,456,-0.53,405,0.67,138,-0.52,411,0.32,72,27.72,397
1618,Lisnaskea,Fermanagh,30.94,129,39.25,112,15.62,127,0.52,120,0.38,196,0.28,221,-0.09,299,0.31,111,52.49,150
1619,Maguires Bridge,Fermanagh,14.82,350,26.56,279,11.63,314,-0.40,402,-0.52,404,0.76,115,-0.32,363,0.28,221,30.91,371
1620,Newtownbutler,Fermanagh,31.58,120,41.18,95,15.15,140,-0.06,309,-0.09,307,1.59,11,-1.07,519,0.29,151,57.04,114
1621,Rosslea,Fermanagh,26.68,166,41.28,93,13.18,237,-0.62,453,-0.18,329,1.78,8,-1.40,555,0.25,344,51.71,154
1622,Rossorry,Fermanagh,9.93,436,22.47,351,8.83,445,-0.66,459,-0.74,451,-0.10,280,-0.34,366,0.32,75,31.37,362
1623,Tempo,Fermanagh,21.20,240,31.74,200,11.25,335,-0.04,292,-0.17,327,0.94,84,-0.43,386,0.36,20,38.94,271
1701,Antiville,Larne,19.91,257,30.36,224,11.40,328,-0.05,295,0.57,151,-0.16,296,1.08,60,0.27,248,54.14,132
1702,Ballycarry,Larne,10.13,430,11.38,498,8.37,462,-0.60,445,-0.75,454,0.93,87,-0.27,350,0.31,101,13.64,503
1703,Ballyloran,Larne,31.56,121,38.35,121,13.39,225,0.05,260,1.28,51,0.39,195,0.75,105,0.33,43,66.02,71
1704,Blackcave,Larne,27.89,156,37.16,136,11.11,348,0.38,157,0.95,80,0.36,207,1.50,19,0.23,399,60.46,97
1705,Carncastle,Larne,6.63,487,6.09,553,6.54,527,-0.90,503,-0.81,467,0.73,124,-0.23,341,0.27,229,7.59,547
1706,Carnlough,Larne,24.14,202,29.69,234,10.62,371,0.20,205,0.62,143,1.46,17,-0.18,325,0.25,314,41.21,242
1707,Central,Larne,38.27,79,30.54,221,20.24,30,0.31,171,0.76,106,-1.16,524,1.34,28,0.37,11,45.94,200
1708,Craigy Hill,Larne,29.67,140,32.29,190,16.10,105,0.39,154,0.71,117,0.26,228,0.30,187,0.28,216,60.70,93
1709,Gardenmore,Larne,7.77,474,13.46,470,9.41,428,-0.62,451,-0.61,426,-0.18,299,0.21,217,0.26,275,18.42,472
1710,Glenarm,Larne,15.74,333,18.62,411,8.87,444,-0.70,468,0.03,273,1.50,16,0.10,245,0.27,236,26.41,411
1711,Glynn,Larne,8.09,464,12.42,486,6.73,522,-0.76,480,-0.43,382,0.69,133,-0.29,353,0.27,226,19.97,459
1712,Harbour,Larne,12.36,396,18.53,415,9.32,433,-0.06,307,0.26,215,-0.19,304,-0.43,387,0.31,109,34.61,320
1713,Island Magee,Larne,15.02,345,13.53,469,10.64,369,-0.43,414,-0.01,283,1.43,20,-0.89,496,0.26,269,19.60,462
1714,Kilwaughter,Larne,7.83,472,9.14,518,5.65,547,-1.43,553,-0.13,317,0.83,104,-0.29,351,0.26,300,12.15,515
1715,Town Parks,Larne,12.51,394,20.66,376,10.29,383,-0.43,416,-0.14,318,-0.65,439,0.54,138,0.33,45,37.07,292
1801,Aghanloo,Limavady,16.56,318,19.92,389,12.61,259,-0.81,491,-0.13,316,1.04,68,-0.70,448,0.33,56,25.58,417
1802,Ballykelly,Limavady,15.55,336,19.36,399,11.03,350,-0.67,462,0.53,163,0.75,120,0.04,267,0.30,137,33.13,340
1803,Binevenagh,Limavady,54.86,24,43.76,75,23.94,6,0.71,90,1.77,20,-0.55,420,1.67,11,0.20,506,67.04,59
1804,Coolessan,Limavady,41.89,62,50.26,34,15.88,114,0.47,133,0.98,77,-0.11,282,1.62,15,0.26,287,75.82,24
1805,Dungiven,Limavady,22.90,220,38.20,123,14.06,189,-0.08,313,0.09,258,0.36,205,0.19,224,0.20,509,47.03,189
1806,Enagh,Limavady,21.83,235,38.02,125,10.56,375,0.10,242,0.63,142,0.00,258,0.61,127,0.13,565,49.82,164
1807,Feeny,Limavady,27.76,157,37.66,127,11.35,329,-0.05,297,0.77,105,1.51,14,-0.14,315,0.20,517,48.14,179
1808,Forest,Limavady,20.88,246,23.48,338,12.39,271,0.13,231,0.53,162,0.87,98,-0.31,356,0.32,89,30.39,375
1809,Glack,Limavady,23.36,215,28.97,242,13.69,211,-0.41,405,0.56,155,1.33,31,-0.76,458,0.27,247,34.47,327
1810,Gresteel,Limavady,16.94,309,31.25,208,9.06,440,-0.28,375,0.48,175,0.65,143,-0.12,306,0.25,313,35.96,304
1811,Magilligan,Limavady,23.79,207,25.36,303,13.45,222,-0.20,351,0.19,227,1.56,13,0.23,206,0.29,180,31.48,361
1812,Rathbrady,Limavady,12.87,384,17.76,425,14.25,177,-0.04,289,-0.89,474,-0.35,351,-0.13,310,0.16,562,25.53,419
1813,Roeside,Limavady,11.63,410,17.14,434,9.42,426,-0.15,336,-0.51,401,-0.45,384,1.28,38,0.30,124,23.81,429
1814,The Highlands,Limavady,22.28,227,33.92,174,10.16,388,0.06,258,0.64,136,1.22,45,-0.59,428,0.20,503,45.17,206
1815,Upper Glenshane,Limavady,22.25,228,36.98,137,10.23,386,-0.46,421,0.25,216,1.39,23,-0.55,420,0.25,319,49.11,171
1901,Ballymacash,Lisburn,2.36,560,5.57,559,4.64,560,-1.14,531,-1.52,536,-0.25,318,-0.78,466,0.22,452,6.70,552
1902,Ballymacbrennan,Lisburn,3.67,539,4.84,563,4.46,561,-1.54,560,-1.62,539,0.65,144,-1.27,545,0.22,464,5.24,561
1903,Ballymacoss,Lisburn,14.51,354,23.98,327,9.66,413,-0.07,311,0.59,148,-0.03,268,0.08,254,0.23,390,34.63,319
1904,Blaris,Lisburn,4.81,523,12.89,477,7.12,496,-0.83,495,-0.74,452,-0.34,349,-0.88,495,0.25,339,19.36,464
1905,Collin Glen,Lisburn,47.60,38,62.24,10,13.86,197,0.92,53,1.19,58,-0.21,307,1.72,10,0.23,408,83.61,8
1906,Derryaghy,Lisburn,19.15,270,31.24,209,13.28,231,-0.36,396,0.23,218,-0.14,293,0.94,70,0.21,485,46.52,194
1907,Dromara,Lisburn,5.41,512,8.52,528,5.81,541,-0.93,511,-0.76,457,0.75,121,-1.06,517,0.20,526,9.78,536
1908,Drumbo,Lisburn,3.14,546,7.16,544,5.27,554,-1.78,563,-2.00,559,0.29,219,-0.46,397,0.21,496,9.78,535
1909,Dunmurry,Lisburn,9.43,440,19.65,395,9.20,436,0.07,254,-1.48,535,-0.83,481,0.71,110,0.26,291,24.55,423
1910,Glenavy,Lisburn,8.34,459,12.21,489,7.58,481,-0.88,502,-0.63,431,0.88,94,-0.43,388,0.26,286,14.74,498
1911,Harmony Hill,Lisburn,4.84,522,10.22,508,6.74,521,-0.55,437,-0.91,475,-0.36,355,0.07,257,0.22,441,16.58,487
1912,Hilden,Lisburn,19.37,266,29.13,240,12.61,260,-0.04,294,0.86,92,-0.66,444,0.10,244,0.22,442,53.19,141
1913,Hillhall,Lisburn,21.00,245,27.04,272,12.32,274,0.22,195,0.95,81,-0.33,342,0.20,223,0.23,388,44.38,210
1914,Hillsborough,Lisburn,3.29,544,5.71,557,5.31,553,-1.23,539,-1.90,555,0.39,193,-1.15,532,0.22,436,5.55,558
1915,Kilwee,Lisburn,38.55,75,48.09,48,14.95,144,1.22,34,0.05,269,-0.57,422,1.66,14,0.28,208,61.31,88
1916,Knockmore,Lisburn,26.48,168,33.73,178,13.13,240,0.35,164,1.32,47,-0.73,456,0.69,111,0.23,396,55.43,118
1917,Lagan Valley,Lisburn,18.67,278,24.45,316,11.88,297,0.42,147,0.69,123,-1.46,544,0.44,153,0.23,382,40.98,247
1918,Lambeg,Lisburn,14.22,362,20.88,373,8.50,458,-0.14,334,0.81,99,-0.09,277,0.16,229,0.23,417,44.14,214
1919,Lisnagarvy,Lisburn,3.35,541,9.45,515,7.16,493,-1.26,543,-0.80,466,-0.96,500,-0.39,380,0.23,379,13.25,507
1920,Mageragall,Lisburn,7.55,477,8.36,532,7.91,474,-0.77,483,-0.59,421,0.55,162,0.08,251,0.27,263,9.56,540
1921,Magheralave,Lisburn,3.86,534,8.92,521,5.69,546,-0.92,508,-0.77,460,-0.29,331,-0.20,332,0.22,453,10.40,532
1922,Maze,Lisburn,7.03,484,12.47,484,6.35,530,-0.44,417,-0.30,357,0.35,210,-0.90,498,0.26,296,20.74,452
1923,Moira,Lisburn,5.50,511,9.58,514,7.12,497,-0.66,461,-0.73,450,0.28,222,-0.45,393,0.21,491,11.45,521
1924,Old Warren,Lisburn,37.72,84,43.51,76,14.74,152,0.70,91,1.55,30,-1.06,515,1.22,48,0.25,328,72.14,38
1925,Seymour Hill,Lisburn,13.99,366,23.57,335,12.05,286,-0.20,350,0.31,205,-0.54,415,0.08,253,0.23,386,41.64,239
1926,Tonagh,Lisburn,20.52,253,28.12,253,12.53,264,0.47,132,0.56,154,-1.52,548,0.46,151,0.26,285,47.27,186
1927,Twinbrook,Lisburn,52.63,28,58.20,16,20.81,26,0.91,57,0.93,83,-0.40,365,0.80,95,0.24,375,80.89,13
1928,Wallace Park,Lisburn,1.01,566,3.03,566,2.66,566,-1.34,549,-1.91,556,-0.75,463,-1.14,530,0.22,445,3.64,564
2001,Ballymaguigan,Magherafelt,14.43,357,25.22,305,11.87,299,-0.32,387,-0.48,393,0.53,167,-0.80,470,0.30,115,31.58,356
2002,Bellaghy,Magherafelt,18.94,273,34.11,171,11.58,320,-0.13,328,-0.12,314,0.66,142,-1.08,520,0.31,105,45.35,203
2003,Castledawson,Magherafelt,22.47,224,27.73,260,13.98,191,0.81,74,-0.26,348,0.16,239,-0.16,319,0.27,258,36.44,297
2004,Draperstown,Magherafelt,22.04,231,35.44,151,13.29,230,0.02,271,0.06,267,0.75,122,-0.45,391,0.25,338,45.32,204
2005,Gulladuff,Magherafelt,17.30,300,26.41,283,12.15,279,0.23,194,-0.23,340,0.51,174,-0.99,508,0.28,194,31.60,354
2006,Knockcloghrim,Magherafelt,10.89,423,17.27,431,9.69,411,-0.05,298,-0.57,419,0.39,194,-0.65,441,0.30,138,20.19,456
2007,Lecumpher,Magherafelt,11.12,415,21.88,358,9.81,409,-0.45,419,-0.55,413,0.34,211,-1.41,556,0.32,71,27.82,396
2008,Lower Glenshane,Magherafelt,13.32,378,28.62,245,11.59,318,-0.65,457,-0.35,367,0.58,156,-1.10,523,0.20,519,35.37,310
2009,Maghera,Magherafelt,31.22,126,41.25,94,16.14,101,0.48,127,0.18,230,-0.54,414,0.04,271,0.31,100,54.92,122
2010,Swatragh,Magherafelt,14.39,359,29.89,231,10.72,363,-0.30,383,-0.72,449,0.79,112,-0.78,464,0.26,278,40.46,254
2011,Tobermore,Magherafelt,15.07,343,25.41,301,11.98,293,-0.05,300,-0.15,322,0.44,185,-0.60,431,0.26,273,33.83,332
2012,Town Parks East,Magherafelt,25.13,184,38.59,117,13.67,212,-0.05,299,0.74,111,-1.03,510,0.80,96,0.27,259,54.21,130
2013,Town Parks West,Magherafelt,17.74,293,30.33,225,13.97,192,-0.10,320,-0.48,391,-1.04,514,0.65,121,0.28,186,41.60,240
2014,Upperlands,Magherafelt,23.44,212,25.14,307,14.52,167,0.27,180,-0.27,354,0.77,114,-0.96,505,0.37,13,28.30,394
2015,Valley,Magherafelt,15.33,339,26.30,285,12.75,253,-0.43,415,-0.07,300,0.61,152,-1.45,558,0.25,312,31.20,365
2101,Armoy,Moyle,38.74,74,38.98,116,15.01,142,0.87,67,0.32,204,1.43,21,-0.09,302,0.37,14,59.07,103
2102,Ballylough,Moyle,19.29,268,26.06,289,13.88,196,-0.22,356,0.10,251,0.54,165,-0.03,283,0.30,139,46.98,190
2103,Bonamargy & Rathlin,Moyle,32.89,110,27.33,268,17.93,61,0.48,130,-1.23,516,1.26,38,1.21,49,0.32,59,43.63,219
2104,Bushmills,Moyle,48.99,36,49.23,42,18.88,41,0.22,198,1.62,28,0.52,171,1.35,27,0.28,193,73.85,32
2105,Carnmoon,Moyle,21.14,242,21.80,359,13.78,207,-0.04,293,0.13,247,1.06,63,-0.59,426,0.33,52,30.03,377
2106,Dalriada,Moyle,17.04,306,30.44,223,12.24,276,-0.02,282,-0.32,360,-0.03,267,0.38,166,0.26,306,46.21,197
2107,Dunseverick,Moyle,18.30,287,22.34,354,11.77,305,0.26,184,-0.53,406,1.27,36,-0.55,417,0.26,270,38.13,280
2108,Glenaan,Moyle,18.08,290,29.98,229,11.85,300,0.18,214,-0.65,434,0.93,86,-0.09,301,0.22,461,45.09,207
2109,Glenariff,Moyle,19.49,263,27.41,264,12.77,252,-0.13,329,-0.21,336,1.30,33,-0.22,338,0.21,471,40.37,255
2110,Glendun,Moyle,27.97,154,26.30,286,13.90,194,0.13,232,0.21,224,1.78,7,-0.76,457,0.34,36,36.33,300
2111,Glenshesk,Moyle,16.61,316,24.36,319,11.66,312,-1.14,530,-0.82,468,1.51,15,-0.16,320,0.27,260,40.67,251
2112,Glentaisie,Moyle,50.51,30,48.70,44,21.38,17,0.69,95,1.25,54,-0.65,440,1.22,47,0.28,214,73.08,34
2113,Kinbane,Moyle,30.63,132,34.12,170,15.86,116,-0.54,435,0.39,193,0.97,79,0.43,158,0.43,4,55.94,116
2114,Knocklayd,Moyle,36.58,89,45.77,64,17.87,63,0.09,244,0.90,88,0.10,249,0.07,261,0.24,347,67.43,57
2115,Moss-side & Moyarget,Moyle,18.74,277,30.91,216,12.68,257,-0.52,434,-0.33,362,0.97,81,-0.22,339,0.29,153,43.72,218
2201,Annalong,Newry and Mourne,20.76,249,26.50,281,12.40,268,-0.22,358,0.71,120,1.00,76,0.06,263,0.23,384,30.65,373
2202,Ballybot,Newry and Mourne,46.29,40,50.52,33,17.76,64,1.39,25,1.05,70,-0.96,498,0.52,142,0.17,560,70.64,44
2203,Ballycrossan,Newry and Mourne,18.18,288,26.09,288,11.92,296,0.55,114,-0.15,321,0.30,218,-0.81,472,0.27,237,33.35,337
2204,Beesbrook,Newry and Mourne,29.87,137,37.29,135,14.65,159,0.54,115,1.01,75,-0.34,348,-0.07,294,0.26,298,53.17,142
2205,Binnian,Newry and Mourne,17.23,301,23.29,343,8.51,457,0.34,167,0.46,180,1.04,69,-0.45,392,0.19,535,29.05,386
2206,Camlough,Newry and Mourne,34.64,101,44.81,67,16.95,90,0.47,134,0.44,187,0.54,166,-0.47,401,0.26,277,58.04,106
2207,Clonallan,Newry and Mourne,23.74,209,31.66,201,14.41,171,0.59,107,-0.15,323,-0.39,363,0.83,92,0.25,333,39.10,268
2208,Creggan,Newry and Mourne,40.54,66,52.79,28,17.21,81,0.15,223,0.65,134,0.84,102,-1.09,521,0.30,135,65.74,73
2209,Crossmaglen,Newry and Mourne,45.19,47,53.53,24,17.57,70,0.91,58,0.79,102,0.59,155,-1.00,510,0.23,403,66.60,64
2210,Daisy Hill,Newry and Mourne,50.05,33,52.98,27,18.76,45,1.43,23,1.06,67,-1.02,509,0.26,196,0.28,223,70.15,47
2211,Derrymore,Newry and Mourne,37.37,87,47.69,52,15.79,120,0.89,60,0.49,171,-0.11,281,0.52,143,0.27,251,63.26,81
2212,Donaghmore,Newry and Mourne,20.45,255,25.05,309,13.43,223,0.11,240,-0.69,441,0.64,149,-0.26,345,0.39,6,32.55,347
2213,Drumalane,Newry and Mourne,20.81,247,30.73,217,13.46,221,0.79,77,-0.25,345,-0.53,411,0.12,241,0.18,550,38.78,274
2214,Drumgullion,Newry and Mourne,35.83,93,42.73,85,17.52,72,0.77,81,0.60,147,-0.51,407,0.20,219,0.27,241,53.22,140
2215,Fathom,Newry and Mourne,21.63,237,31.60,202,12.91,245,0.59,106,-0.23,341,0.45,182,-0.47,402,0.26,288,37.95,285
2216,Forkhill,Newry and Mourne,25.40,181,37.43,131,12.84,249,0.48,131,-0.15,320,1.12,57,-0.48,407,0.21,468,40.20,257
2217,Kilkeel Central,Newry and Mourne,22.79,221,31.96,193,11.98,291,0.10,243,0.93,84,-0.28,330,0.93,72,0.21,481,44.04,215
2218,Kilkeel South,Newry and Mourne,24.66,194,33.49,183,10.87,357,0.45,140,0.87,91,0.02,257,0.73,107,0.28,197,46.50,195
2219,Lisnascree,Newry and Mourne,22.74,222,27.17,271,14.46,168,0.18,213,0.00,279,1.02,71,-0.47,403,0.27,233,31.24,364
2220,Mayobridge,Newry and Mourne,16.98,308,28.57,247,11.58,319,-0.14,332,0.04,272,0.82,107,-1.10,524,0.27,255,34.55,323
2221,Newtownhamilton,Newry and Mourne,32.86,112,42.73,86,15.99,109,0.53,118,0.15,242,0.93,85,-0.49,408,0.23,400,55.78,117
2222,Rathfriland,Newry and Mourne,25.50,179,34.63,163,12.78,251,0.69,93,0.65,133,-0.02,266,0.10,247,0.22,433,46.11,198
2223,Rostrevor,Newry and Mourne,18.40,285,28.91,243,12.14,282,0.24,191,0.06,264,0.58,157,-0.43,385,0.19,536,39.44,263
2224,St. Mary's,Newry and Mourne,33.88,103,39.53,108,16.21,98,0.93,52,0.71,119,-0.53,413,0.09,249,0.18,547,55.15,121
2225,St. Patrick's,Newry and Mourne,42.94,59,44.75,68,20.45,29,1.34,30,0.27,213,-1.38,541,0.91,76,0.18,552,54.46,126
2226,Seaview,Newry and Mourne,15.02,344,27.51,263,12.11,284,-0.16,339,-0.03,288,-0.45,391,0.35,175,0.24,349,35.27,314
2227,Silver Bridge,Newry and Mourne,30.59,133,43.21,79,15.30,136,0.18,212,0.17,236,1.08,61,-1.31,552,0.23,406,52.38,151
2228,Spelga,Newry and Mourne,28.43,149,33.87,175,14.17,181,0.38,155,0.48,176,1.24,41,-0.17,322,0.25,311,42.92,227
2229,Tullyhappy,Newry and Mourne,17.37,298,20.38,384,11.56,322,0.52,121,-0.06,296,0.70,129,-0.24,342,0.25,316,22.92,432
2230,Windsor Hill,Newry and Mourne,10.46,428,20.81,374,10.62,370,0.12,237,-0.87,472,-0.45,392,0.09,250,0.23,420,29.48,384
2301,Abbey,Newtownabbey,8.88,447,19.34,400,8.01,470,0.05,262,-0.07,304,-0.78,471,-0.29,352,0.20,501,33.95,330
2302,Ballyclare North,Newtownabbey,12.75,389,25.14,308,11.55,323,-0.37,397,0.13,246,-0.38,360,0.14,235,0.18,549,30.90,372
2303,Ballyclare South,Newtownabbey,9.16,443,17.53,429,9.35,431,-0.86,496,0.16,237,-0.37,356,0.33,180,0.22,449,28.49,390
2304,Ballyduff,Newtownabbey,8.94,446,16.34,443,7.62,480,-0.34,393,0.29,209,-0.32,341,-0.04,286,0.18,548,29.39,385
2305,Ballyhenry,Newtownabbey,6.63,488,13.53,468,8.99,442,-0.48,427,-0.76,455,-0.45,387,0.29,190,0.22,431,17.88,476
2306,Ballynure,Newtownabbey,6.31,499,7.29,543,5.82,540,-1.17,536,-0.98,490,0.55,164,-0.79,467,0.32,87,7.42,549
2307,Braden,Newtownabbey,43.47,56,39.55,107,18.41,49,0.83,73,1.98,10,-0.72,454,0.17,228,0.20,520,66.24,67
2308,Burnthill,Newtownabbey,4.73,525,10.84,501,7.64,479,-0.71,475,-0.47,389,-0.65,437,-0.37,371,0.20,516,18.90,469
2309,Carnmoney,Newtownabbey,10.48,427,20.63,377,9.89,405,-0.39,400,-0.09,305,-0.27,324,0.37,170,0.23,421,41.89,236
2310,Cloughfern,Newtownabbey,16.57,317,20.90,372,9.62,414,0.41,148,0.92,86,-0.66,443,0.14,233,0.16,561,34.65,318
2311,Collinbridge,Newtownabbey,3.96,532,10.21,510,7.11,498,-0.76,482,-1.02,498,-0.67,447,0.14,234,0.20,527,15.16,492
2312,Coole,Newtownabbey,36.52,90,41.18,96,13.84,200,0.88,61,1.94,12,-1.18,527,0.20,221,0.22,451,67.51,56
2313,Doagh,Newtownabbey,6.58,491,9.80,512,6.45,528,-0.90,504,-0.71,445,0.51,175,-0.71,452,0.29,154,11.77,519
2314,Dunanney,Newtownabbey,42.75,60,47.45,55,16.45,94,0.77,80,1.94,13,-0.79,476,0.22,212,0.21,489,74.93,26
2315,Glebe,Newtownabbey,5.08,518,14.19,464,7.38,489,-0.51,432,-0.99,492,-0.44,381,-0.19,326,0.21,493,22.03,438
2316,Glengormley,Newtownabbey,11.69,409,22.03,357,9.46,423,-0.34,395,0.23,219,-0.85,485,0.93,73,0.23,425,37.93,286
2317,Hawthorne,Newtownabbey,11.87,408,19.46,397,10.16,387,-0.66,460,0.73,113,-0.46,396,-0.16,318,0.20,524,35.80,307
2318,Hightown,Newtownabbey,7.20,481,14.28,463,10.55,376,-0.15,337,-0.76,458,-0.88,491,-0.21,334,0.22,435,22.49,436
2319,Jordanstown,Newtownabbey,4.92,520,11.02,500,7.66,478,-0.68,465,-0.91,477,-0.28,329,-0.46,396,0.23,423,15.12,494
2320,Mallusk,Newtownabbey,4.33,527,7.52,539,5.34,552,-0.81,492,-0.95,484,0.36,203,-1.03,514,0.23,385,10.43,531
2321,Monkstown,Newtownabbey,25.13,185,30.68,219,12.28,275,0.49,126,1.40,38,-0.33,343,-0.59,429,0.23,422,50.44,161
2322,Mossley,Newtownabbey,16.74,313,23.80,329,9.06,441,0.26,185,0.82,98,-0.02,264,-0.10,303,0.20,504,35.84,306
2323,Rostulla,Newtownabbey,3.37,540,12.27,488,5.01,557,-1.08,525,-1.09,503,-0.50,404,-0.22,340,0.23,401,21.59,443
2324,Valley,Newtownabbey,30.16,136,36.01,146,14.79,150,0.45,137,1.14,59,-0.62,430,0.14,232,0.28,202,53.46,137
2325,Whitehouse,Newtownabbey,33.23,106,30.18,226,17.16,84,0.84,70,1.38,41,-1.21,530,0.57,134,0.20,523,60.66,94
2401,Ballyholme,North Down,2.75,553,7.44,540,3.77,564,-0.86,497,-2.44,564,-0.73,460,-0.85,487,0.29,174,6.87,551
