Ward Code,Ward Name,LGD Name,Multiple Deprivation Measure Score,Rank of Multiple Deprivation Measure Domain,Income Domain Score,Rank of Income Domain,Employment Domain Score,Rank of Employment Domain,Health Domain Score,Rank of Health Domain,Education Domain Score,Rank of Education Domain,Access Domain Score,Rank of Access Domain,Social Environment Domain Score,Rank of Social Environment Domain,Housing Domain Score,Rank of Housing Domain,Child Poverty Measure Score,Rank of Child Poverty Measure
814,Whitehead,Carrickfergus,6.62,489,7.94,533,6.80,517,-1.10,527,-0.94,480,-0.13,290,0.09,248,0.32,60,10.07,534
815,Woodburn,Carrickfergus,6.62,490,8.69,526,7.77,477,-0.59,442,-0.41,377,0.37,201,-0.20,329,0.17,556,9.73,537
901,Ballyhanwood,Castlereagh,3.86,535,7.57,538,6.91,511,-1.15,532,-0.96,486,-0.29,333,0.01,275,0.21,474,11.17,523
902,Beechill,Castlereagh,10.77,424,12.08,493,9.40,429,0.69,94,-0.93,478,-0.51,408,-0.06,290,0.22,438,11.99,518
903,Carrowreagh,Castlereagh,18.58,281,24.25,322,13.16,239,0.01,274,0.83,97,-0.18,301,-0.17,323,0.19,544,40.06,259
904,Carryduff,Castlereagh,3.06,549,8.70,524,5.60,549,-1.24,542,-1.05,500,-0.26,320,-1.46,559,0.24,354,11.46,520
905,Cregagh,Castlereagh,30.21,135,34.54,164,14.84,146,0.78,78,1.29,49,-1.11,521,-0.22,336,0.21,495,61.52,87
906,Downshire,Castlereagh,7.42,478,16.63,440,9.94,401,-0.10,321,-0.28,356,-0.87,490,-1.06,518,0.19,538,32.63,345
907,Dundonald,Castlereagh,5.58,509,8.43,529,6.01,538,-0.10,318,-0.32,361,-0.43,375,-0.79,468,0.22,462,10.89,525
908,Enler,Castlereagh,31.44,123,34.53,165,14.46,169,0.83,71,1.40,37,-0.72,452,0.37,172,0.17,559,62.18,85
909,Four Winds,Castlereagh,1.18,565,6.56,550,4.80,559,-1.82,564,-1.36,529,-0.83,480,-0.66,443,0.16,563,12.41,513
910,Gilnahirk,Castlereagh,2.01,561,7.65,537,7.00,503,-1.38,550,-1.30,524,-1.00,505,-0.54,414,0.18,551,10.81,528
911,Graham's Bridge,Castlereagh,17.11,305,24.81,313,13.85,198,-0.13,331,0.56,156,-1.11,519,0.30,188,0.21,482,51.81,153
912,Hillfoot,Castlereagh,1.45,564,5.72,556,4.99,558,-1.41,551,-1.67,541,-0.50,405,-1.17,535,0.21,494,4.84,562
913,Knockbracken,Castlereagh,1.90,562,4.69,564,5.52,551,-1.50,557,-1.72,548,-0.23,316,-0.84,482,0.17,558,5.45,559
